employee_id,name,department,role,gender,ethnicity,date_joined,seniority_level,skills,education_level,salary,performance_score
1,Employee_1,Marketing,Finance Associate,Female,Hispanic,2018-08-16 11:29:34,Senior,ML,Diploma,147195,8
2,Employee_2,Operations,Software Engineer,Non-Binary,Other,2020-01-29 17:07:24,Lead,Cloud,Master's,48792,6
3,Employee_3,Finance,Data Analyst,Non-Binary,White,2018-07-25 08:36:38,Senior,Leadership,Diploma,130372,6
4,Employee_4,Marketing,HR Manager,Male,Mixed,2022-03-21 06:41:43,Lead,Excel,Master's,44140,9
5,Employee_5,HR,Marketing Exec,Non-Binary,Hispanic,2024-06-18 06:45:51,Junior,Communication,Master's,111178,8
6,Employee_6,Operations,Sales Rep,Male,White,2020-01-31 20:09:08,Lead,Communication,Diploma,110074,3
7,Employee_7,Operations,Finance Associate,Non-Binary,Hispanic,2018-07-25 12:28:51,Junior,JavaScript,Bachelor's,112654,7
8,Employee_8,HR,Software Engineer,Other,Hispanic,2023-10-06 22:21:04,Mid,ML,PhD,44616,9
9,Employee_9,Finance,HR Manager,Male,Other,2019-01-31 08:18:27,Junior,Communication,Bachelor's,47370,3
10,Employee_10,Marketing,Finance Associate,Male,Other,2021-09-22 05:44:13,Senior,Python,Master's,129297,9
11,Employee_11,Marketing,Software Engineer,Male,Asian,2022-10-29 16:26:50,Junior,Communication,Bachelor's,102413,5
12,Employee_12,Finance,HR Manager,Male,White,2020-07-01 18:21:29,Lead,JavaScript,Bachelor's,111255,9
13,Employee_13,HR,HR Manager,Female,Other,2023-06-03 19:55:18,Senior,Excel,Bachelor's,141653,1
14,Employee_14,HR,Marketing Exec,Non-Binary,Asian,2022-06-29 17:58:29,Senior,JavaScript,PhD,34927,4
15,Employee_15,HR,Marketing Exec,Female,Other,2022-12-05 20:45:26,Mid,Leadership,Diploma,54157,9
16,Employee_16,Operations,HR Manager,Other,Mixed,2023-07-18 20:55:10,Mid,JavaScript,PhD,25670,9
17,Employee_17,Marketing,Software Engineer,Non-Binary,Hispanic,2022-08-30 17:28:05,Mid,ML,Bachelor's,93810,6
18,Employee_18,Engineering,Finance Associate,Female,Mixed,2021-07-07 14:54:09,Senior,Cloud,Diploma,35051,6
19,Employee_19,Operations,Sales Rep,Non-Binary,Hispanic,2024-08-02 16:40:33,Senior,Python,Bachelor's,72527,3
20,Employee_20,Operations,Finance Associate,Female,White,2018-04-18 23:44:40,Lead,Python,Master's,38305,5
21,Employee_21,Marketing,HR Manager,Other,Black,2018-12-01 04:31:49,Senior,Cloud,Bachelor's,42604,8
22,Employee_22,Finance,Finance Associate,Female,White,2019-06-14 01:30:56,Mid,ML,Diploma,67025,2
23,Employee_23,Sales,Marketing Exec,Other,Hispanic,2022-09-09 12:45:11,Junior,Leadership,PhD,31357,2
24,Employee_24,Marketing,Finance Associate,Male,Black,2019-12-02 21:35:25,Lead,ML,PhD,89171,4
25,Employee_25,Finance,Data Analyst,Female,Black,2023-08-17 11:26:34,Lead,Communication,Bachelor's,98980,9
26,Employee_26,Marketing,Marketing Exec,Male,White,2022-04-13 23:03:51,Junior,Leadership,PhD,78264,5
27,Employee_27,Operations,Marketing Exec,Other,Mixed,2019-10-04 14:02:43,Lead,Cloud,Diploma,45115,3
28,Employee_28,Sales,HR Manager,Male,White,2020-08-27 01:10:30,Mid,Python,PhD,61842,8
29,Employee_29,HR,HR Manager,Female,Hispanic,2019-06-28 23:30:02,Mid,JavaScript,PhD,82459,7
30,Employee_30,Operations,Finance Associate,Non-Binary,Mixed,2023-07-22 16:16:28,Lead,Cloud,Bachelor's,129315,9
31,Employee_31,Operations,Finance Associate,Female,Hispanic,2019-12-01 13:48:27,Lead,Communication,Diploma,26227,6
32,Employee_32,Engineering,HR Manager,Male,Other,2021-09-30 01:59:08,Lead,Python,Diploma,42076,2
33,Employee_33,Operations,Software Engineer,Male,Other,2021-11-21 15:51:16,Senior,Leadership,Master's,107731,1
