hire_id,candidate_id,department,role,required_skills,years_experience_required,salary_offer,gender,ethnicity,hired,interview_score,date_posted,date_hired
1,25795,Sales,Finance Associate,Leadership,7,113295,Female,Other,0,1,2023-05-11 22:47:20,2024-12-27 22:10:16
2,10860,Operations,Finance Associate,Leadership,5,80611,Male,Hispanic,1,9,2023-03-14 02:44:57,2020-08-10 02:42:28
3,86820,HR,Sales Rep,JavaScript,3,72941,Male,Hispanic,1,5,2023-04-01 09:35:32,2022-03-30 22:55:18
4,64886,Marketing,HR Manager,ML,3,63875,Other,Hispanic,1,3,2023-08-20 01:52:47,2023-03-29 03:56:29
5,16265,Sales,Marketing Exec,Communication,8,37698,Male,White,1,5,2019-03-24 22:37:40,2024-05-24 00:16:28
6,92386,Marketing,Software Engineer,Communication,5,86826,Non-Binary,Mixed,1,3,2018-03-06 20:34:39,2022-01-21 20:47:25
7,47194,Operations,Sales Rep,ML,7,56408,Non-Binary,Black,1,9,2022-05-15 13:40:48,2021-02-26 04:00:24
8,97498,Operations,HR Manager,Python,7,113421,Male,White,1,1,2022-01-28 10:47:33,2022-08-11 10:14:08
9,54131,HR,Software Engineer,Python,6,103845,Male,Mixed,0,1,2019-05-13 21:00:25,2018-10-06 19:45:32
10,70263,HR,HR Manager,JavaScript,2,40133,Non-Binary,Other,1,3,2020-05-06 06:36:57,2023-10-26 06:51:13
11,26023,Engineering,Sales Rep,Python,9,98746,Female,Black,1,6,2023-11-18 03:44:57,2024-11-14 04:20:29
12,51090,Marketing,Software Engineer,JavaScript,0,61126,Other,White,1,2,2018-01-10 04:58:20,2024-06-09 04:50:29
13,77221,Marketing,Sales Rep,Excel,4,58043,Other,White,1,1,2020-03-21 20:19:37,2022-03-28 10:21:35
14,74820,Operations,HR Manager,ML,9,29078,Female,Asian,1,8,2023-12-13 16:58:58,2018-06-28 02:04:34
15,10769,Engineering,Finance Associate,Communication,9,78906,Other,White,0,9,2023-07-21 19:45:48,2019-04-06 18:41:19
16,69735,Sales,Data Analyst,JavaScript,1,36137,Male,Hispanic,0,1,2023-01-23 16:02:11,2018-11-04 16:53:30
17,72955,Marketing,Finance Associate,Leadership,9,54350,Male,Other,1,3,2019-08-25 08:14:16,2018-10-04 19:54:35
18,74925,Engineering,Sales Rep,Python,1,29698,Male,White,1,5,2020-10-08 03:26:52,2019-01-31 12:27:38
19,77969,Engineering,Sales Rep,Leadership,6,58132,Other,Hispanic,0,7,2022-11-08 09:46:47,2021-06-25 02:27:18
20,15311,Operations,Sales Rep,JavaScript,2,35165,Female,Mixed,1,4,2018-01-15 08:53:31,2021-10-15 20:04:09
21,93104,Engineering,Software Engineer,Cloud,7,25794,Male,Mixed,0,6,2021-04-07 20:13:41,2018-03-29 14:50:15
