review_id,employee_id,year,performance_rating,manager_rating,promotion_recommended
1,903,2018,6,3,1
2,1588,2024,8,4,0
3,4659,2021,3,6,0
4,1489,2019,1,9,0
5,2157,2020,6,2,0
6,4118,2021,8,9,1
7,4835,2021,4,9,0
8,128,2021,6,8,0
9,3290,2019,4,6,1
10,4846,2023,3,5,0
11,1422,2022,6,2,1
12,3210,2022,1,5,1
13,3546,2020,5,7,1
14,3173,2018,6,2,1
15,2255,2024,6,2,0
16,1138,2020,3,6,0
17,4400,2018,5,6,0
18,2886,2024,3,1,1
19,1660,2018,5,3,0
20,3292,2020,3,2,1
21,2986,2020,2,6,1
22,944,2021,8,1,1
23,4561,2019,4,4,1
24,260,2022,8,4,0
25,1572,2018,8,1,1
26,149,2018,6,8,1
27,4837,2021,6,7,1
28,1380,2022,4,9,1
29,4420,2019,6,3,1
30,55,2021,6,7,0
31,2431,2023,5,4,1
32,614,2019,6,3,1
33,2147,2023,5,3,1
34,4219,2018,8,4,1
35,295,2024,4,2,1
36,2571,2022,8,7,0
37,3955,2018,8,1,1
38,2578,2021,3,6,0
39,58,2019,5,6,0
40,4247,2019,7,3,0
41,2521,2018,8,2,1
42,1692,2021,7,9,1
43,3411,2022,7,2,1
44,3515,2020,1,1,1
45,4123,2023,5,3,1
46,464,2024,4,4,1
47,380,2021,6,7,0
48,2844,2022,9,4,1
49,4038,2023,4,7,0
50,188,2022,7,9,1
51,3093,2019,2,9,1
52,3240,2020,3,9,1
53,3388,2024,8,4,1
54,2656,2023,3,6,1
55,678,2020,9,1,0
56,4322,2020,4,5,0
57,512,2018,3,3,1
58,276,2019,2,6,0
59,4282,2021,2,6,1
60,2467,2018,1,6,1
61,1447,2024,4,9,0
62,2716,2018,7,6,0
63,3180,2020,4,1,0
64,1828,2020,2,6,1
65,3506,2022,6,2,0
66,4740,2022,8,5,1
67,719,2019,2,3,1
68,4196,2019,2,2,0
69,1865,2021,6,2,0
70,1776,2018,3,6,1
71,1257,2020,3,1,0
72,493,2020,8,5,0
73,2361,2019,3,4,1
74,2249,2022,6,1,1
75,4274,2023,1,9,1
76,4094,2021,3,4,0
77,4410,2023,5,2,0
78,1618,2018,4,7,1
79,4382,2024,8,1,0
80,4937,2019,5,2,0
81,1668,2022,1,3,1
82,4235,2022,1,4,1
83,4573,2018,3,2,0
84,1503,2024,5,7,0
85,3110,2018,3,8,0
86,4475,2023,5,6,1
87,789,2019,1,1,0
88,1412,2018,1,5,1
89,3492,2020,7,5,0
90,567,2024,5,5,0
91,3876,2022,2,8,1
92,3838,2024,9,5,0
93,4086,2022,9,4,0
94,3087,2020,9,8,0
95,4629,2021,4,4,0
96,4620,2021,4,6,1
97,1206,2024,9,4,0
98,2745,2018,1,1,1
99,2574,2023,8,4,1
100,1667,2019,1,7,0
101,3878,2021,7,1,0
102,2167,2023,6,8,0
103,1918,2019,8,1,1
104,2659,2019,5,2,0
105,920,2021,8,7,0
106,2585,2019,6,4,1
107,119,2018,9,3,0
108,4044,2020,3,5,0
109,2263,2023,4,5,1
110,3664,2023,7,3,1
111,563,2020,2,1,0
112,2199,2018,6,4,0
113,4612,2018,8,6,0
114,1436,2022,3,4,0
115,4533,2020,1,1,1
116,1215,2018,5,2,1
117,1264,2021,4,8,0
118,327,2019,3,5,1
119,3605,2023,6,3,1
120,936,2018,5,2,0
121,2664,2024,3,6,0
122,485,2021,2,6,0
123,264,2022,3,4,0
124,3605,2020,4,4,1
125,3220,2021,9,4,0
126,2637,2019,6,3,0
127,3276,2021,6,1,1
128,3651,2023,1,9,1
129,387,2022,4,9,0
130,1090,2024,3,7,0
131,2158,2019,4,3,0
132,3470,2020,2,2,1
133,963,2019,9,4,0
134,2460,2021,6,9,0
135,4638,2018,1,9,0
136,1675,2018,4,7,1
137,2639,2019,5,4,0
138,4344,2023,2,9,1
139,2927,2024,7,6,1
140,1040,2019,4,2,0
141,2093,2022,5,5,1
142,1955,2021,8,4,1
