training_id,employee_id,training_name,hours_completed,training_score,completion_date
1,913,Excel Bootcamp,29,50,2024-01-02 11:59:19
2,3770,Cloud Cert,14,98,2021-08-16 13:03:14
3,3405,Leadership 101,43,35,2019-12-14 17:55:52
4,191,Leadership 101,5,43,2018-02-09 03:41:14
5,1388,AI Workshop,11,52,2018-01-29 15:42:10
6,1395,Excel Bootcamp,46,5,2023-01-26 16:35:58
7,3496,Leadership 101,41,39,2020-03-28 05:37:16
8,3147,Excel Bootcamp,33,63,2021-07-12 23:01:50
9,4325,AI Workshop,29,72,2020-09-08 19:54:02
10,348,Leadership 101,6,19,2021-05-12 16:28:47
11,3702,Leadership 101,7,18,2019-12-27 23:29:11
12,4559,Cloud Cert,45,80,2023-04-30 18:42:19
13,1176,Excel Bootcamp,10,83,2024-07-08 23:02:52
14,840,Leadership 101,20,79,2024-02-21 20:39:56
15,4806,AI Workshop,9,93,2020-09-20 11:38:05
16,3040,Excel Bootcamp,17,79,2019-11-20 07:33:28
17,435,Leadership 101,36,29,2023-08-26 05:45:33
18,988,Excel Bootcamp,46,17,2023-03-23 02:41:39
19,1914,AI Workshop,6,15,2018-11-27 02:21:00
20,3326,Cloud Cert,1,40,2018-07-01 10:14:06
21,3009,Cloud Cert,11,75,2019-03-07 04:30:57
22,286,AI Workshop,43,3,2018-10-18 14:09:36
23,4040,Excel Bootcamp,17,77,2018-09-25 22:21:55
24,1576,AI Workshop,39,38,2021-07-20 18:53:43
25,629,Cloud Cert,9,9,2023-11-14 20:10:49
26,3598,Excel Bootcamp,16,84,2024-12-09 08:00:56
27,4652,Excel Bootcamp,27,48,2020-04-10 21:20:01
28,4828,Leadership 101,41,90,2020-01-27 22:55:56
29,4770,Leadership 101,5,57,2020-08-01 18:03:59
30,167,Leadership 101,38,76,2021-10-12 19:30:03
31,2692,Leadership 101,8,49,2022-02-18 20:38:15
32,1435,Leadership 101,9,95,2022-09-08 00:40:26
33,4394,AI Workshop,13,2,2018-07-30 15:56:56
34,3211,AI Workshop,3,33,2022-09-29 00:20:43
35,2934,Excel Bootcamp,27,16,2019-03-07 21:35:47
36,4951,Excel Bootcamp,37,5,2022-04-06 18:29:35
37,3378,Leadership 101,20,53,2020-03-15 11:22:15
38,565,Cloud Cert,33,81,2023-04-06 15:05:46
39,1668,Cloud Cert,13,63,2018-06-24 10:31:01
40,1351,Excel Bootcamp,24,56,2021-05-27 04:23:09
41,590,Excel Bootcamp,42,32,2019-03-21 23:15:42
42,2941,Excel Bootcamp,24,15,2018-10-08 20:45:52
43,2893,Leadership 101,20,61,2019-09-05 15:46:51
44,454,Excel Bootcamp,27,12,2019-06-07 02:45:10
45,3707,Leadership 101,18,17,2021-06-17 13:10:44
46,3593,AI Workshop,28,10,2022-11-22 12:26:55
47,2238,Excel Bootcamp,36,90,2019-04-12 19:25:55
